Date,Status,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UN,UP,UT,Total,WB
14 Jul,Confirmed,5,1916,75,859,1432,12,114,0,1606,16,170,915,66,699,262,346,2496,608,35,0,6741,2,46,798,5,51,543,333,63,635,45,1524,4526,90,-179,1594,78,29917,1390
14 Jul,Recovered,20,1003,8,757,655,23,73,0,1924,33,67,749,11,453,77,128,1142,181,0,0,4500,0,50,367,8,6,609,77,44,539,-1,1161,4743,63,0,778,11,20977,718
14 Jul,Deceased,0,43,0,6,9,2,1,0,35,0,1,14,0,4,3,8,87,1,0,0,213,0,0,10,0,0,5,9,0,6,0,10,67,0,0,28,1,587,24
15 Jul,Confirmed,5,2432,29,1088,1320,19,177,0,1647,17,198,925,32,678,337,493,3176,623,14,0,7975,19,28,638,0,6,618,288,65,866,11,1597,4496,98,-655,1659,99,32607,1589
15 Jul,Recovered,1,911,0,715,514,13,49,0,2463,28,67,791,28,577,57,114,1076,196,18,0,3606,0,60,333,0,2,612,204,60,333,1,1159,5000,66,0,762,81,20646,749
15 Jul,Deceased,0,44,0,2,14,1,0,0,41,1,0,10,0,7,2,11,87,1,0,0,233,0,0,9,0,0,5,8,3,6,0,11,68,1,0,29,0,614,20
16 Jul,Confirmed,4,2593,52,892,1385,16,198,0,1652,18,157,919,36,696,221,490,4169,722,5,0,8641,40,64,735,34,14,494,295,147,737,13,1676,4549,98,-239,2058,197,35468,1690
16 Jul,Recovered,3,1015,0,666,568,17,127,0,1994,21,143,828,5,518,28,109,1263,228,6,0,5527,3,49,219,1,43,401,410,58,468,0,1296,5106,33,0,932,47,22867,735
16 Jul,Deceased,0,40,0,2,10,0,1,0,58,0,1,10,0,3,4,16,104,2,0,0,266,0,0,7,0,0,2,9,1,8,0,10,69,0,0,34,0,680,23
17 Jul,Confirmed,0,2602,66,1218,1742,25,249,0,1462,32,196,949,40,795,313,601,3693,791,4,0,8308,26,36,704,10,40,718,348,89,615,32,1478,4538,118,-754,1722,120,34820,1894
17 Jul,Recovered,0,905,22,551,896,4,61,0,1608,22,129,770,40,533,64,112,1028,132,3,0,2217,0,34,387,0,14,453,96,67,656,1,1410,3391,47,0,959,26,17476,838
17 Jul,Deceased,0,42,0,1,6,0,3,0,26,0,2,17,0,5,4,9,115,1,1,0,258,0,0,9,0,0,6,9,3,8,0,7,79,0,0,38,1,676,26
18 Jul,Confirmed,4,3963,41,1117,1667,31,243,0,1475,45,180,960,40,750,289,441,4537,593,8,0,8348,15,91,681,2,22,591,350,58,711,19,1284,4807,171,-368,1873,174,37411,2198
18 Jul,Recovered,3,1465,99,1060,774,5,146,0,1973,22,92,1062,19,600,79,607,1018,204,12,0,5306,0,19,350,7,27,607,81,48,518,2,1902,3049,51,0,1030,60,23583,1286
18 Jul,Deceased,0,52,0,2,4,1,0,0,26,0,0,19,0,17,2,5,93,2,0,0,144,0,0,8,0,0,3,7,3,7,0,6,88,2,0,24,1,543,27
19 Jul,Confirmed,15,5041,90,1018,1412,26,161,0,1211,37,173,965,64,617,167,701,4120,821,19,0,9518,32,20,837,0,10,736,308,109,934,10,1296,4979,223,-163,2211,239,40235,2278
19 Jul,Recovered,0,1127,8,858,826,3,117,0,1860,14,180,877,29,475,62,646,1290,172,18,0,3906,0,53,447,0,13,516,81,92,586,0,1831,4059,24,0,1181,35,22730,1344
19 Jul,Deceased,0,56,0,4,2,0,0,0,31,0,1,20,0,5,1,8,91,2,0,0,258,2,0,15,0,0,7,8,0,6,0,6,78,0,0,38,0,675,36
